t,solar,wind,year
990,0.73,0.003,2000
991,0.721,0.004,2000
992,0.706,0.005,2000
993,0.666,0.006,2000
994,0.601,0.006,2000
995,0.376,0.009,2000
996,0.194,0.016,2000
997,0.024,0.027,2000
998,0,0.035,2000
999,0,0.031,2000
1000,0,0.024,2000
1001,0,0.015,2000
1002,0,0.011,2000
1003,0,0.009,2000
1004,0,0.008,2000
1005,0,0.006,2000
1006,0,0.003,2000
1007,0,0.001,2000
1008,0,0,2000
1009,0,0,2000
1010,0.332,0,2000
1011,0.596,0.001,2000
1012,0.708,0.014,2000
1013,0.756,0.026,2000
1014,0.746,0.032,2000
1015,0.734,0.041,2000
1016,0.714,0.046,2000
1017,0.697,0.048,2000
1018,0.663,0.044,2000
1019,0.535,0.038,2000
1020,0.292,0.036,2000
1021,0.063,0.045,2000
1022,0,0.053,2000
1023,0,0.044,2000
1024,0,0.024,2000
1025,0,0.009,2000
1026,0,0.002,2000
1027,0,0,2000
1028,0,0,2000
1029,0,0,2000
1030,0,0.001,2000
1031,0,0.003,2000
1032,0,0.005,2000
1033,0,0.01,2000
1034,0.308,0.018,2000
1035,0.554,0.009,2000
1036,0.755,0.013,2000
1037,0.784,0.022,2000
1038,0.779,0.04,2000
1039,0.76,0.062,2000
1040,0.745,0.081,2000
1041,0.734,0.096,2000
1042,0.711,0.103,2000
1043,0.641,0.105,2000
1044,0.467,0.106,2000
1045,0.105,0.12,2000
1046,0,0.174,2000
1047,0,0.178,2000
1048,0,0.137,2000
1049,0,0.101,2000
1050,0,0.08,2000
1051,0,0.052,2000
1052,0,0.046,2000
1053,0,0.052,2000
1054,0,0.064,2000
1055,0,0.076,2000
1056,0,0.083,2000
1057,0,0.082,2000
1058,0.433,0.06,2000
1059,0.635,0.059,2000
1060,0.72,0.09,2000
1061,0.757,0.097,2000
1062,0.77,0.103,2000
1063,0.752,0.106,2000
1064,0.738,0.107,2000
1065,0.724,0.108,2000
1066,0.695,0.122,2000
1067,0.623,0.153,2000
1068,0.406,0.188,2000
1069,0.099,0.195,2000
1070,0,0.266,2000
1071,0,0.322,2000
1072,0,0.288,2000
1073,0,0.193,2000
1074,0,0.158,2000
1075,0,0.136,2000
1076,0,0.126,2000
1077,0,0.13,2000
1078,0,0.128,2000
1079,0,0.13,2000
